GMBA_V2_ID,GMBA_V1_ID,MapName,WikiDataUR,MapUnit,Hier_Lvl,Feature,Area,Perimeter,Elev_Low,Elev_High,Path,Path_ID,Level_01,Level_02,Level_03,Level_04,Level_05,Level_06,Level_07,Level_08,Level_09,Level_10,Select_300,Countries,CountryISO,DBaseName,AsciiName,Name_AR,Name_DE,Name_EN,Name_ES,Name_FR,Name_PT,Name_RU,Name_ZH,LocalNames,ColorAll,ColorBasic,Color300
12319,,Southern Apennines,https://www.wikidata.org/wiki/Q3620875,Aggregated,5,Geographically-defined sub-range,31779.40205,2833.93289,0.0,2232.0,Eurasia > Europe > South European Highlands > Apennine Mountains > Southern Apennines,12155 > 12157 > 14301 > 11133 > 12319,Eurasia,Europe,South European Highlands,Apennine Mountains,Southern Apennines,,,,,,,Italy,ITA,Southern Apennines,Southern Apennines,,,Southern Apennines,Apeninos Meridionales,Apennin du Sud,,,,Appennino meridionale (Italian); Apenin meridionale (Venetian),3,0,0
12320,,Campanian Apennines,https://www.wikidata.org/wiki/Q3620872,Aggregated,6,Mountain range with well-recognized name,7606.00418,992.08336,0.0,2021.0,Eurasia > Europe > South European Highlands > Apennine Mountains > Southern Apennines > Campanian Apennines,12155 > 12157 > 14301 > 11133 > 12319 > 12320,Eurasia,Europe,South European Highlands,Apennine Mountains,Southern Apennines,Campanian Apennines,,,,,,Italy,ITA,Campanian Apennines,Campanian Apennines,,,Campanian Apennines,Apeninos Campanos,Apennin Campanien,,,,Appennino campano (Italian); Appennino Campano (Neapolitan); Apenin campano (Venetian),1,0,0
12321,,Lucan Apennines,https://www.wikidata.org/wiki/Q3620878,Aggregated,6,Mountain range with well-recognized name,11408.42178,941.76418,0.0,2232.0,Eurasia > Europe > South European Highlands > Apennine Mountains > Southern Apennines > Lucan Apennines,12155 > 12157 > 14301 > 11133 > 12319 > 12321,Eurasia,Europe,South European Highlands,Apennine Mountains,Southern Apennines,Lucan Apennines,,,,,,Italy,ITA,Lucan Apennines,Lucan Apennines,,,Lucan Apennines,Apeninos Lucanos,Apennin Lucanien,,,,Appennino lucano (Italian); Apenin lucano (Venetian),3,0,0
12322,,Calabrian Apennines,https://www.wikidata.org/wiki/Q3620869,Aggregated,6,Mountain range with well-recognized name,9415.98172,943.56205,0.0,1936.0,Eurasia > Europe > South European Highlands > Apennine Mountains > Southern Apennines > Calabrian Apennines,12155 > 12157 > 14301 > 11133 > 12319 > 12322,Eurasia,Europe,South European Highlands,Apennine Mountains,Southern Apennines,Calabrian Apennines,,,,,,Italy,ITA,Calabrian Apennines,Calabrian Apennines,,,Calabrian Apennines,Apeninos Calabreses,,,,,Appennino Calabrese (Italian); Appennino calabro (Italian); Apenin calabro (Venetian),6,0,0
18581,,Appennino Sannita,https://www.wikidata.org/wiki/Q3620882,Basic,6,Mountain range with well-recognized name,3348.99436,315.10126,51.0,1717.0,Eurasia > Europe > South European Highlands > Apennine Mountains > Southern Apennines > Appennino Sannita,12155 > 12157 > 14301 > 11133 > 12319 > 18581,Eurasia,Europe,South European Highlands,Apennine Mountains,Southern Apennines,Appennino Sannita,,,,,,Italy,ITA,Appennino Sannita,Appennino Sannita,,,Samnite Apennine,Apeninos Samnitas,,,,,Appennino sannita (Italian); Apenin sannita (Venetian),2,2,0
15774,,Aspromonte,https://www.wikidata.org/wiki/Q303853,Basic,7,Mountain range with well-recognized name,4004.27987,470.20762,0.0,1936.0,Eurasia > Europe > South European Highlands > Apennine Mountains > Southern Apennines > Calabrian Apennines > Aspromonte,12155 > 12157 > 14301 > 11133 > 12319 > 12322 > 15774,Eurasia,Europe,South European Highlands,Apennine Mountains,Southern Apennines,Calabrian Apennines,Aspromonte,,,,,Italy,ITA,Aspromonte,Aspromonte,أسبرومونتي,,,Aspromonte,Aspromonte,,,阿斯普羅蒙特山,Aspromonte (Italian); Aspromonte (Venetian),5,6,0
15775,,La Sila,https://www.wikidata.org/wiki/Q1088296,Aggregated,7,Mountain range with well-recognized name,4345.91207,372.16615,0.0,1910.0,Eurasia > Europe > South European Highlands > Apennine Mountains > Southern Apennines > Calabrian Apennines > La Sila,12155 > 12157 > 14301 > 11133 > 12319 > 12322 > 15775,Eurasia,Europe,South European Highlands,Apennine Mountains,Southern Apennines,Calabrian Apennines,La Sila,,,,,Italy,ITA,La Sila,La Sila,,Sila,La Sila,La Sila,Sila,,Сила,锡拉山,La Sila (Italian); Sila (Italian); Sila (Sicilian); Sila (Venetian),1,0,0
15779,,Alburni,https://www.wikidata.org/wiki/Q266587,Basic,7,Mountain range with well-recognized name,2292.44548,253.87086,0.0,1870.0,Eurasia > Europe > South European Highlands > Apennine Mountains > Southern Apennines > Lucan Apennines > Alburni,12155 > 12157 > 14301 > 11133 > 12319 > 12321 > 15779,Eurasia,Europe,South European Highlands,Apennine Mountains,Southern Apennines,Lucan Apennines,Alburni,,,,,Italy,ITA,Alburni,Alburni,,Monti Alburni,Alburni,,Monts Alburni,,,,Monti Alburni (Italian); Monti Alburni (Venetian),2,5,0
15780,,Matese,https://www.wikidata.org/wiki/Q898150,Basic,7,Mountain range with well-recognized name,1211.95547,201.53905,57.0,2021.0,Eurasia > Europe > South European Highlands > Apennine Mountains > Southern Apennines > Campanian Apennines > Matese,12155 > 12157 > 14301 > 11133 > 12319 > 12320 > 15780,Eurasia,Europe,South European Highlands,Apennine Mountains,Southern Apennines,Campanian Apennines,Matese,,,,,Italy,ITA,Matese,Matese,ماتيزي,,Matese,Matese,,,,,Matese (Italian); Mateza (Venetian),5,6,0
18168,,Monti Picentini,https://www.wikidata.org/wiki/Q723327,Basic,7,Mountain range with well-recognized name,1698.678,232.62763,0.0,1788.0,Eurasia > Europe > South European Highlands > Apennine Mountains > Southern Apennines > Campanian Apennines > Monti Picentini,12155 > 12157 > 14301 > 11133 > 12319 > 12320 > 18168,Eurasia,Europe,South European Highlands,Apennine Mountains,Southern Apennines,Campanian Apennines,Monti Picentini,,,,,Italy,ITA,Monti Picentini,Monti Picentini,,,Picentini Mountains,,,,,,Monti Picentini (Italian); Monti Picentini (Venetian),4,1,0
